size (cm),shape,weight (g),avg_price (₹),color,taste,fruit_name
2.652880033986837,2,3.599943776654902,1.5427738815185141,2,1,19
2.5278135008631284,2,3.8660704431238435,2.228356669884002,2,1,19
-0.09858369473476375,2,-0.18651791544710938,0.36675546552078664,2,1,5
1.8086809354018003,1,1.5739913111168178,0.22296282076997292,3,1,13
0.27661590463636354,0,-0.4428032259911593,-1.0069778370093099,7,1,1
1.7148810355590183,1,1.296656433733416,0.23066599816733788,3,1,13
-0.3330834443417183,2,-0.26401859335563005,1.2320790598247915,6,1,17
-1.1772825429267548,2,-0.6151636401757177,-1.7362119639598657,5,1,7
-0.692649727072382,2,-0.5591225856034188,-0.25976962946490206,5,2,16
-0.12985032801569107,2,-0.24706959148498361,0.41040680410585517,2,1,5
-0.17675027793708195,2,-0.3309944878444751,-0.29571779065260567,2,0,8
-1.1616492262862912,2,-0.6155736966725881,-1.0018423854110665,0,1,2
1.6367144523567,2,1.034356961235266,0.6183925938347108,1,1,4
-0.8489828934770184,1,-0.6092861637205742,-1.1610413849566106,6,1,3
0.010849521748481751,1,-0.2667523033347666,0.8546233673539051,7,1,11
1.3240481195474272,2,0.9132536091595175,0.8315138351618102,1,1,4
-0.27055017777986373,2,-0.2913556931469954,1.2885690274054684,6,1,17
0.12028273823172712,1,-0.28178770822001753,1.1524795600520197,7,1,11
-0.14548364465615465,2,-0.35546119215774713,-0.5216776609753131,2,0,8
1.042648420019082,1,1.161474475265115,0.5541994488566689,1,2,15
1.0582817366595456,1,0.8699243059902038,0.11255061140774093,1,2,15
0.010849521748481751,2,-0.19280544839912345,0.3641877397216651,2,1,5
0.15154937151265457,1,-0.309808235506167,0.8263783835635667,7,1,11
1.214614903064182,2,0.9411374509467103,0.7673206901837683,1,1,4
-1.1772825429267548,2,-0.6159837531694586,-1.7464828671563526,5,1,7
0.05774947166987278,1,-0.37951783997414856,-0.06205474293253332,2,1,14
1.0739150533000095,1,1.1024263397157656,0.30513004634186663,1,2,15
-0.9896827432411912,2,-0.6039554292612579,-0.5730321769577466,4,1,10
-1.1616492262862912,2,-0.6158470676705019,-1.7387796897589876,5,1,7
0.7925153537716637,1,1.1710424601920928,0.3308073043330834,1,2,15
-0.47378329410589104,2,-0.4366523785381021,0.08173790181828075,6,1,0
1.5898145024353096,2,1.0216452098322812,0.6492053034241709,1,1,4
-0.2861834944203275,2,-0.3256637533851589,-0.3368014034385525,2,0,8
0.21408263807450917,0,-0.46111908285137404,-1.0249519176031616,7,1,1
0.9488485201763002,1,1.144798844392382,0.3616200139225432,1,2,15
-0.692649727072382,2,-0.550238028171225,-0.2366600972728072,5,2,16
-0.6457497771509911,2,-0.5610361825888144,-0.14165424270530513,5,2,16
-0.17675027793708195,2,-0.2763202882617445,1.3578976239817537,6,1,17
1.167714953142791,1,0.8849597108754547,0.2537755303594331,1,2,15
-0.8958828433984093,1,-0.6087394217247468,-1.2765890459170859,6,1,3
0.08901610495079995,0,-0.4503209284337848,-1.0121132886075532,7,1,1
-0.692649727072382,2,-0.5503747136701819,-0.12368016211145332,5,2,16
0.13591605487219097,0,-0.4622125668430287,-1.0403582723978917,7,1,1
2.934279733515182,2,3.230346187475643,1.8329268968192638,2,1,19
-0.34871676098218196,2,-0.4207968606591102,0.16390512739017446,6,1,0
-0.9740494266007276,2,-0.6036820582633442,-0.6141157897436934,4,1,10
-1.1616492262862912,2,-0.6158470676705019,-1.7156701575668925,5,1,7
